cuvant,fisier,total_aparitii,contexte
Bacău,HAIRO_RosettiR_CuPalosul.txt,65,"tu la Trotuș sau la Bacău sau la piatră și voi ||| cale fi lung până la Bacău ; nu mai avea mult ||| nu vrea putea fi în Bacău acest noapte . și Hans ||| cu Petrea cărăbuș pănă la Bacău , nu ști pentru ce ||| ști că gazdă căpitan la Bacău fi la soră lui Petrea ||| treab mai avea căpitan la Bacău , șădea acolo cu săptămână ||| cel mult cărăusă veni dinspre Bacău cu deșert spre a încarca ||| cu sare sau chereste spre Bacău . Vidra sine duce în ||| ziuă , să fi în Bacău . — sine vedea că ||| treabă ce el avea în Bacău fi vajnic și grabnic de ||| niște marfă din Galați la Bacău , fi față când al ||| , ajunge eu astănoapte în Bacău , prin ban avea cumpăra ||| și ce avea face la Bacău atât vremie , căci avea ||| merge mai des pe la Bacău și zăbăvi mai mult acolo ||| că tu petreci vreme la Bacău lângă stancă acela frumos . ||| ochi . avea fi la Bacău numai pentru neaparat trebuinte și ||| prinde cu un furt la Bacău pentru care tu avea pedepsi ||| să pleca numai decât la Bacău și să trimâte pe ileană ||| peletuc , delă peletuc lângă Bacău . — cu atât mai ||| țaranie , Radomir de lângă Bacău , ieși din rând boierime ||| arunca în Siret , între Bacău și Roman . aici descălece ||| scapa , fi duce la Bacău . — dar fiică său ||| despre Ștefănești și merge spre Bacău . la Sabaoani , el ||| . sine întoarce acuma spre Bacău după ce da oștean adunat ||| haină unguresc . căci în Bacău cel mai mare parte al ||| saș și al ungură din Bacău cât și vitejie străluci arata ||| cel puțin un zi în Bacău spre a pedepsi în chip ||| acel prin care intra în Bacău , trece pod care fi ||| cătră un călăreț trimete delă Bacău înaintea plecare voevod , aștepta ||| . el avea duce la Bacău unde el avea da pe ||| , la toca sosea în Bacău . neamție delă Cetate el ||| dacă ajunge de vreme în Bacău și cal nu el fi ||| adăpost curat . vedea în Bacău că cal mai putea merge ||| schimbat . Stoian veni din Bacău cu veste că Petrea cărăbuș ||| - el avea aduce la Bacău și el avea da pe ||| ajunge întru un fugă la Bacău , să vedea dacă mai ||| la toca avea ajunge la Bacău și , arăta eu sine ||| Petrea . în temniță din Bacău fi închide un prieten al ||| alt călău nu fi în Bacău . Astfeliu eu avea avea ||| parcă sine da întâlnire în Bacău numai barbat și încă barbat ||| lume întru un duminică în Bacău ? baga avea samă cât ||| în același sări ajunge în Bacău și petrece noaptea la stancă ||| , călător meu pleca din Bacău când sine crapa de ziuă ||| vesti că onea sosi delă Bacău calare cu vește rău și ||| , arunca în temniță din Bacău și recunoaște acolo de un ||| . intoarce tu îndată la Bacău . Paisie tu vrea duce ||| , zori de ajunge la Bacău înainte de ziuă . îndată ||| de azi dimineață , delă Bacău , nu putea decât să ||| el el de moarte la Bacău ? crijație , dacă nu ||| călăuză și să pleca spre Bacău . la câtva pas sine ||| răscula norod ieri dimineață la Bacău și el el scoate din ||| că scapa de moarte la Bacău numai prin ajutor un alt ||| spre țară unguresc și spre Bacău . dar eu el trimete ||| lui Floareș în răscolă delă Bacău , care Mihu el datori ||| sine în noapte viitor la Bacău . dar Anton nu sine ||| eu eu voi răpezi la Bacău ca să vorbi cu prieten ||| să eu el aduce la Bacău . — ba nu , ||| slujitor scapa din măcel delă Bacău , care . povesti răscolă ||| câștigat lui Bogdan . la Bacău , șohtuz Meyer sine retrăsi ||| el neputa trece Bistrița la Bacău , trece pe mal stâng ||| Stroici să sine retrage înspre Bacău , porni înainte câtva sută ||| răspunde să sine îndrepta spre Bacău . gros oaste ajunge al ||| să fi hărțui necontenit dinspre Bacău și bistriță , spre a ||| sine împreuna cu domn în Bacău . plecare fi hotărî pentru ||| la eu , merge înspre Bacău , eu el lua cu"
Bacău,HAIRO_IghelI_MoarteaSimionLicinsky.txt,1,"lucrător Iordache Gătej , din Bacău , vier Calinic , și"
Bacău,HAIRO_PopescuND_RaduAnghel.txt,1,muntos al județ Putna și Bacău cu intențiune ca avea strînge
Bacău,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"avea înnainta prin Roman și Bacău până la Focșani , și"
Bacău,HAIRO_Anonim_GruiaMereanu.txt,2,fi tot cioban prin județ Bacău . avea un turmă mic ||| . fi orfan naște la Bacău . copie amândoi sine întâlni
Bacău,HAIRO_MacriP_HaiduculTandura.txt,2,da un raită până la Bacău și să tu întoarce îndată ||| pleca numai de cât spre Bacău . chiar al doi seară
Bacău,HAIRO_MatasaC_MovilaHaiducului.txt,1,"trimite azi după el la Bacău . cât privi Iași ,"
Bacău,HAIRO_PopescuND_BujorHaiducul.txt,6,"al trei în sus de Bacău și un vie cu obraț ||| ordona să sine duce la Bacău cu voinică lui și să ||| neatins el și de la Bacău . vodă de bucurie el ||| , și între Roman și Bacău întâlni pe grec , el ||| de unăd între Roman și Bacău ? — eu ucigaș ? ||| nici de loc pe la Bacău , fi că avea veni"
Baia,HAIRO_RosettiR_CuPalosul.txt,7,"de amiază ; fi în Baia . acest oraș fi aproape ||| un sută de sas din Baia să sine înarma numai decât ||| Moldova . Sara rama în Baia , chiemă pe șoltuz la ||| și al doi zi la Baia , spre a privighia însuși ||| mai fi de trebuință în Baia și dori să sine întâlni ||| căutare Ilena el găsi în Baia și el aduce veste că ||| cal și sine îndrepta spre Baia , urma de onea și"
Baia,HAIRO_Dragoslav_CodreanuHaicudul.txt,1,". el fi muta delă Baia , din pricină că veni"
Baia,HAIRO_Lazar_Haiducul_Graur.txt,2,"face de la Câmpulung spre Baia , unde turc după ce ||| la luptă . *** la Baia , Turci sine întări grozav"
Baia,HAIRO_Anonim_HaiduculJianuLupul.txt,3,"Anton , țăran bogat din Baia dră clădi cam la poală ||| pe dată . ceas din Baia suna doi oră ; tînăr ||| de a sine duce în Baia , unde găsi pe Ana"
Balș,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"tom ca la logofăt Iordache Balș . — bră tânăr ,"
Balta-Verde,HAIRO_BalanescuS_SfarsitulBlestemului.txt,3,"om ? — în mahalaoa Balta-Verde , spre margine târg , ||| d-ta fi Sorica din mahalaoa Balta-Verde , din târg Craiova ? ||| în oraș Craiova , mahala Balta-Verde , unde avea deschide ochi"
Baranga,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"pune pe colăcen , pe Baranga și pe gămăneșteni să eu"
Băbeni,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,oteraș său în apropiere de Băbeni și Jianu cu haiduc său
Băleni,HAIRO_IghelI_MoarteaSimionLicinsky.txt,2,"sine duce la moșie său Băleni , la hotar dintre moșie ||| hotar dintre moșie Cuca și Băleni , în pădure bălean ,"
Băneasa,HAIRO_PopescuND_TunsuCapitan.txt,1,", și sine îndrepta spre Băneasa ca cum avea fi avea"
Băneasa,HAIRO_DumbravaB_Pandurul.txt,5,"om meu să rămâne la Băneasa , cu cal lui . ||| , pe lângă pădure delà Băneasa , în spre oraș . ||| să duce nișt fân la Băneasa . iarbă sine avea împuțina ||| în pădure de stejar delă Băneasa , pe care toamnă cald ||| tot eâ sc înapoia delà Băneasa cu cel mai bun hotă"
Băneasa,HAIRO_BaronziG_MinaHaiduceasa.txt,1,"iar mireasă fi din sat Băneasa , amândo sat în apropiere"
Bârlad,HAIRO_RosettiR_CuPalosul.txt,75,"el lucra pentru eu la Bârlad . — da , el ||| jos , pe Siret și Bârlad , pusti tot în cale ||| în urmărire dușman , pe Bârlad . fi de mult prieten ||| sine avea întoarce îndată la Bârlad . cinste lui fi bine ||| . Albrecht el duce la Bârlad în casă un negustor prieten ||| cavaler , sine duce la Bârlad și plăti șase sută de ||| eu vrea întoarce pe la Bârlad unde vrea hotărî cu Toma ||| ajutor lui ? — la Bârlad , cu tot osteneală meu ||| apuca drum prin Tecuciu , Bârlad și vale Chinezei sau , ||| sat , în jos de Bârlad , un tânăr , orfan ||| purcea al doi zi pe Bârlad , cu un om al ||| de aici genovezie apuca spre Bârlad iar celălalt , trece Siretul ||| alt om decât soponar din Bârlad , mai cunoscător în de ||| fi grabă să merge la Bârlad , urmă părinte . - ||| fi ? el sosi în Bârlad ? - ști că acuma ||| săptămână fi fierbere mare în Bârlad unde sine afla de venire ||| solie lui Basarab el lasa Bârlad de un parte și el ||| sine vrea aba pe la Bârlad . — mai bine avea ||| Basarab nici un solie la Bârlad dar , dacă el trimete ||| sus vrea merge la orașiu Bârlad împreună cu domnie tău și ||| la cetate alb și la Bârlad da Alexandru Basarab , domn ||| eu avea trimite Basarab la Bârlad . cuvios părint și cinstit ||| răscola . celălalt țară : Bârlad , hotin , Iașul , ||| eu să prinde picior în Bârlad sau în Codru . în ||| păste hotar Moldova , prin Bârlad , prin Codru , prin ||| și să pune mână pă Bârlad . dar pune mână pă ||| . dar pune mână pă Bârlad , avea micșioră mult sorție ||| . insă fruntașiu negustor dân Bârlad , cu nou lui voevod ||| trebui deci să trimite la Bârlad un om da încrederecare să ||| deci , fătulă , la Bârlad , chiar da mâine dacă ||| treabor ce el avea la Bârlad , urma să merge pentru ||| să merge da sârg la Bârlad , unde să eu opri ||| genovezie , iar că prin Bârlad trece numai cu prilej întoarcere ||| de gând să merge la Bârlad împreună cu eu pentru folos ||| nemeri să sosi împreună în Bârlad și ca sosire meu să ||| până ce vrea sosi în Bârlad , eu nu fi Pârvu ||| la cale călătorie tău spre Bârlad . grădiste , sat în ||| vesti din Codru și din Bârlad . în zadar s avea ||| August , când pleca la Bârlad , întovărăși de Gheorghiță păna ||| vedea sosire călător meu la Bârlad si găzduire lui la fost ||| pe la toca , în Bârlad . bârlad pe acel vreme ||| toca , în Bârlad . bârlad pe acel vreme nu sine ||| lui nu mai fi prin Bârlad , tăcea dar sine vedea ||| negustor cel mai bogat din Bârlad ; în dughen și în ||| în care sine afla atunci Bârlad . sfat care sine afla ||| și lucra pentru a aduce bârlad sub stăpânire acest voevod . ||| Pârvu atât stare lucru în Bârlad cât și ceu ce aștepta ||| oaspetă ! stare lucru dân Bârlad eu fi cunoaște da mult ||| plăcea ; dace să vedea bârlad în mână ungură , mai ||| , iar Mihu rama în Bârlad , unde aștepta vește de ||| pentru cine ține negustor dân Bârlad lucru atât da minunat ? ||| . să nu uita că Bârlad fi un șchea , din ||| din Moldova și oștean din Bârlad ; mai mult foc avea ||| știre despre aflare lui în Bârlad , răspândi în același dimineață ||| , eu avea îndrepta spre Bârlad unde avea ajunge astăzi la ||| povesti cum avea sosi în Bârlad da câtva zi alt sol ||| Basarab la Cetatea-Albă și la Bârlad , păta Pârvu Nedeianu , ||| însoți până acela , în Bârlad , da unde eu propune ||| și său eu statornica în Bârlad , lua da soție pă ||| Toma Alimoș să rămâne în Bârlad , avea a el trimate ||| avea apuca ? — spre Bârlad , răspunde om din Crăiești ||| să trima pe Anton la Bârlad pentru treab grabnic , dar ||| acela ce sine petrece la Bârlad . vedea că onea nu ||| năvălire împotriva tătar . dela Bârlad sosi vește cel mai îmbucurător ||| păna la sosire ajutoar din Bârlad și din Codru . Trimese ||| tot oșt , sosi din Bârlad , delă Ploscan , un ||| adăuga că vește primi delă Bârlad suna într-adevăr că târziu , ||| Gheorghiță el povesti întâmplare din Bârlad când onea , veni din ||| , prietenie lui târziu din Bârlad și câtva ieșean ; dinLăpușnă ||| veni cu soție lui în Bârlad , târgoveție vedea cu mierare ||| sine feri să veni în Bârlad . tot cam pe acel ||| din când în când în Bârlad noaptea , pe furiș și ||| de mai mult an în Bârlad , meșter mare în meserie ||| un chip să rămâne în Bârlad și să lesa ca Bogdan ||| Plopana , străbate deal dintre Bârlad și Siret și ajunge pe"
Bârlad,HAIRO_IghelI_DragosHotulTecucilor.txt,10,"de doi apă mic : bârlad și tecucel . bârlad intra ||| : bârlad și tecucel . bârlad intra în oraș prin parte ||| unde sine și vărsa în Bârlad . tecuciu fi așeza pe ||| duce din Tecuciu la oraș Bârlad . mahalal crivițen , mălurean ||| Galați , ci numai la Bârlad , Tecuciu și acela el ||| între cel doi apă : bârlad și tecu-cel , după cum ||| pe un rîu mare ( bârlad ) și că avea 3 ||| mult ceas , trece rîu Bârlad și ajunge în pădure . ||| el chema Ițic Caner din Bârlad și care fi strîngător de ||| proprietar moșie Borcea din plasa Bârlad , fi în cancelarie proprietățe"
Bârlad,HAIRO_Dragoslav_CodreanuHaicudul.txt,2,"sine duce până pe la Bârlad , pe la Galați , ||| : la ieși , la Bârlad , ori chiar numai până"
Bârlad,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"Vaslui și Fâlciu până la Bârlad , că Sergiu Kamensky avea"
Bechet,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,"mai ales parte băltos despre Bechet , de câte tu cetă"
Bechet,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,3,parte din sat azi o-rășel Bechet . intru acel moment nu ||| supărare ; aci ești la Bechet ; tu puiu singur în ||| el închina căsuță de la Bechet . Pașa priimi cu plăcere
Bechet,HAIRO_BalanescuS_SfarsitulBlestemului.txt,1,"el trece Dunăre în spre Bechet , ca să sine duce"
Belgrad,HAIRO_PopescuND_IancuJianuZapciu.txt,1,"pripășitură după la Diiu și Belgrad , care îșe primi până"
Belgrad,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,"pripășit după la Diiu și Belgrad , care sine priimi până"
Belgrad,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,1,"de Ţarigrad cu ilec de Belgrad , cu fes din Brusa"
Bisericani,HAIRO_StoenescuS_Corbea.txt,1,"fi să pleca de la Bisericani înapoi , câine începe să"
Bisoca,HAIRO_IstratiP_DomnitaSnagov.txt,6,"doi . mubprunt de la BISOCA ca să trece în Moldova ||| de miază noapte al sat Bisoca , ținut muntos și foarte ||| care sta aici , la Bisoca , în gospodărie pe care ||| greu pentru eu , și Bisoca , la opt zi de ||| an după venire meu la Bisoca . rămăsă singur , cu ||| an , un fată din Bisoca ? el chema angelică ?"
Bistrița,HAIRO_RosettiR_CuPalosul.txt,9,", păna în apropiere de Bistrița . în cel doi ceas ||| aduce veste că Ițic trece Bistrița înainte de ploae și trimete ||| Mihu . el neputa trece Bistrița la Bacău , trece pe ||| veni așa de mare ca Bistrița , la Radomirești , el ||| Isaia , de loc din Bistrița , pleca la Cuhnia cu ||| , căci sas muri în Bistrița la început iarnă . înainte ||| de arcaș din Dalmația trece Bistrița din sus de gârlă Babei ||| ; spre Siret și spre Bistrița . apoi domn sine îndrepta ||| român pe Moldova și pe Bistrița și cere ca bârlădenie și"
Bistrița,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"munte ceva mai sus de Bistrița , și după trei noptă"
Bistrița,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,6,"fiu acela bolnav la mănăstire Bistrița din județ Vâlcea unde fi ||| în surghiunie : unul la Bistrița iar altul la Tismana . ||| munte Builei ce umbri monastire Bistrița , Arnota și Horez , ||| pe drum ce duce spre Bistrița , Horez și Polovraci . ||| cel mare dintre Govora și Bistrița fi drum mare dar rău ||| pe drum dintre Govora și Bistrița , sine întâmpla ca să"
Bistrița,HAIRO_MatasaC_MovilaHaiducului.txt,2,"peste sat răzeșesc de peste Bistrița , ploaie îndesat , topi ||| sută de tătar , trece Bistrița revărsa sine în potop mistuitor"
Bistrița,HAIRO_PopescuND_CorbeaHaiducInchisoare.txt,2,"să veni mare trotuși , Bistrița , Moldova și Șiretul , ||| tot filă mai ales pe Bistrița , Moldova și șiret ,"
Bogdănești,HAIRO_RosettiR_CuPalosul.txt,1,"popă îsi tot zi la Bogdănești , avea lasa vale Moldova"
Bolintin,HAIRO_PopescuND_TunsuCapitan.txt,1,"ce avea fi muta la Bolintin aproape de București , eu"
Boroaia,HAIRO_RosettiR_CuPalosul.txt,1,", la deal de sat Boroaia . în drum lui nu"
Borzești,HAIRO_RosettiR_CuPalosul.txt,5,"pe drum ce duce delă Borzești , pe Trotuș , la ||| el lua pe samă la Borzești . de acolo mai putea ||| Stoian pleca de dimineață la Borzești , zice că trebue să ||| celalalt fi un țaran din Borzești , argat al lui Stoian ||| chiar în acel noapte la Borzești , la casă popei ."
Botești,HAIRO_PopescuND_RaduAnghel.txt,4,"la cârciumă său de la Botești . cu acel ocazie visit ||| întru un noapte pe la Botești însoți de tot coritegiu fort ||| Anghel negustor cinsti din sat Botești , că ști cum fi ||| vestit căpitan Radu Anghel din Botești , răspunde arendaș cerca sine"
Bran,HAIRO_DumbravaB_Pandurul.txt,1,"retrage peste graniță , lua Bran . Sava eu urmări până"
Bran,HAIRO_PopescuND_RaduAnghel.txt,1,"drum de la Giuvala spre Bran , sau de la pietroșițe"
Brăila,HAIRO_PopescuND_CodreanulHaiducul.txt,1,grână la schelă turcesc din Brăila și harabagiu care veni cu
Brăila,HAIRO_DumbravaB_Pandurul.txt,2,"atunci ștafet partidul_Democrat șală delà Brăila și Bau cere ajutor . ||| trece Dunăre , acela delă Brăila intra în Moldova . Lassanis"
Brăila,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"în București , Giurgiu , Brăila și alt localitate din margine"
Brăila,HAIRO_PopescuND_MiulHaiducul.txt,2,", care , duce la Brăila și venduta la turc , ||| de soldat din Giurgiu și Brăila și chiar de însuși locuitor"
Brăila,HAIRO_IghelI_MoarteaSimionLicinsky.txt,9,"prin Câșla și Luncavița la Brăila . fată sine înfiora . ||| unde merge . — la Brăila . — eu nu putea ||| revărsatu de zori ajunge în Brăila , dupe ce trece Dunăre ||| . când ajunge înapoi în Brăila sine simți bolnav . dar ||| în barcă porni el spre Brăila . ajunge la Peatra-Fetei , ||| cu el încărca . în Brăila sta noaptea la niște femeie ||| fu-gi în noapte acela din Brăila , sine simți mai rău ||| cu inscripție farmacist Negre-scu din Brăila . pușcă fi sistem foc ||| avea cumpăra el de la Brăila ; unul mic , fi"
Brăila,HAIRO_PopescuND_RaduAnghel.txt,1,"București până la Craiova sau Brăila , sine sta lua rămâne"
Brăila,HAIRO_PopescuND_BoieriiHaiduci.txt,2,"pe care el vinde la Brăila , Galați și Cetatea-Albă ; ||| avea să el mâne la Brăila , ori Galați , prin"
Brăila,HAIRO_MacriP_HaiduculTandura.txt,1,"el zice că merge la Brăila , și fi din Câmpu-Lung"
Brăila,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,2,"poreclă ucigașiu Manolache Caraman din Brăila cu al polcovnic Caraman din ||| fi prinde tot în județ Brăila , și apoi da pe"
Brăila,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,3,"turceșt : Turnu Măgurele și Brăila , și transporta în -tre ||| al vită , care la Brăila sine încărca în corabie mare ||| el duce la Giurgiu sau Brăila după cum sine presenta cerere"
Brăila,HAIRO_RadulescuN_CapitanulRopota.txt,19,"bunăoară . . . în Brăila ? . . tu avea ||| casier la sucursală său din Brăila . sine cere un garanție ||| domn Feloniadi , comersant din Brăila . eu el avea pica ||| eu propune să merge la Brăila în post de care îți ||| Feloniadi , mare comerciant din Brăila . . . don căpitan ||| la casă de comerț din Brăila . Și fi că fi ||| , trebui să pleca în Brăila , orândui un mic chef ||| după mez nopțe . opt Brăila fi unul din cel mai ||| cât tren sine apropi de Brăila . când cineva sine afla ||| de -aseară avea sosi în Brăila și mâine avea serios de ||| de la venire său în Brăila . — eu , — ||| ieri ordin de plecare la Brăila . — cu ghidușiee tău ||| . avea , d-ta în Brăila ? răspunde domn Feloniadi , ||| mânca pe totă grec din Brăila ca pe un farfurie de ||| eu face să fugi din Brăila , prea degrabă . — ||| rudăc descoperi că avea în Brăila , Teodorse scuză șu sine ||| de Paris , face în Brăila , și un scrisoare . ||| și că vrea trece prin Brăila ca să fi duce în ||| deschide scrisoare șu citeșt : Brăila 17 Maiu „ iubit șu"
Brăila,HAIRO_PopescuND_BujorHaiducul.txt,1,pe care el vinde la Brăila și la Galați cum avea
Brăila,HAIRO_BalanescuS_SfarsitulBlestemului.txt,1,"potrivă său niște fruntaș din Brăila , pe care el calici"
Brăila,HAIRO_StoenescuS_Corbea.txt,1,de la Rușava până la Brăila și după vetru chile hotare
Brăila,HAIRO_StoenescuT_DragusinHaiducul.txt,4,"un sat nu departe de Brăila . — și ce face ||| — locuință meu fi în Brăila ; dar tot avere meu ||| cal sine îndrepta spre . Brăila , ca de acolo cu ||| pe la tocă ajunge în Brăila , unde resbunător pașă aștepta"
Brăila,HAIRO_PopescuND_CorbeaHaiducInchisoare.txt,1,lăutar Petrea Crețu Șiolcan din Brăila avea un con-clusiune deosebit dar
Breaza,HAIRO_BaronziG_MinaHaiduceasa.txt,1,în munte de dincolo de Breaza . . . . mină
Breaza,HAIRO_PopescuND_RaduAnghel.txt,2,"în cel doi sat numit Breaza de jos și Breaza de ||| numit Breaza de jos și Breaza de sus , trece prin"
Breaza,HAIRO_PopescuND_IancuJianuCapitan.txt,2,? — eu veni delă Breaza . — dar unde tu ||| smârc Prahova dintre Posada și Breaza avea el găzdui pe teribil
Breaza,HAIRO_PopescuND_CorbeaHaiducInchisoare.txt,1,ce Nicolae Grozea din sat Breaza face în țerră românesc întru
Brebu,HAIRO_PopescuND_RaduAnghel.txt,1,"la adunat șu până la Brebu , înainta în creer munte"
Brebu,HAIRO_PopescuND_IancuJianuCapitan.txt,2,sfinție tău ? — dela Brebu . — nu fi aș ||| — el ! până la Brebu fi un palmă de loc
Brețcu,HAIRO_RosettiR_CuPalosul.txt,3,"avea pleca numai azi din Brețcu unde avea sta zece zi ||| , iar altul sta la Brețcu , gata său năvălesc pe ||| zece mie năvăli pe la Brețcu . încercare ungură să pătrunde"
Buciulești,HAIRO_MatasaC_MovilaHaiducului.txt,8,"el avea fi aduce la Buciulești sine purta cu luntri prin ||| strâmbatate . la curte din BUCIULEȘTI pleca răzeșie delă isprăvnicie , ||| în întuneric beci lui din Buciulești , de către Gheorghe Ște-fan ||| strica logodnă cu boer delă Buciulești , îndemna el să el ||| Vâscan fi la curte din Buciulești . il ști pe Stolnic ||| mai de neyoe . la Buciulești fi mare zarvă . stolnic ||| Balint și boier de la Buciulești , ști că haiduc cerceta ||| . 31 la curte din Buciulești . . . . ."
Bucovina,HAIRO_DumbravaB_Pandurul.txt,1,"fugi metru Basarabia , în Bucovina , nu Ardeal . îpisilant"
Bucovina,HAIRO_RosettiR_CuPalosul.txt,1,de astăzi al Bistriței și Bucovina . venit acest sat împreună
Bucovina,HAIRO_Dragoslav_CodreanuHaicudul.txt,2,"vreme când nemție avea lua Bucovina , tu închipuiți câtci an ||| lume , om venit din Bucovina , din târg șu sat"
Bucovina,HAIRO_PopescuND_BoieriiHaiduci.txt,1,tu găsi în Ardeal și Bucovina armă soldățesc și plumb destul
Bucovina,HAIRO_PopescuND_CorbeaHaiducInchisoare.txt,1,focșan până la Dorohoi cu Bucovina cu tot care încă nu
București,HAIRO_PopescuND_CodreanulHaiducul.txt,16,"avea ajunge spaimă ciocoi din București și avea pusti drum mare ||| ci că fi tocmai din București . — din București ! ||| din București . — din București ! esclame coconu Dinicu cu ||| adevărat baltac , pe când București . . . avea fi ||| el — unde sta în București ? — în uliță croi ||| avea sosi mosafire de la București trămite de nene Niculache Vâcărescu ||| vreme și mo-safire de la București și mai rar ; un ||| rău , murmura mo-safir din București cel vorbăreț . — ba ||| patru ; fi boer din București intra în casă meu cu ||| avea duce la armașiu din București , și mai ales la ||| palmă de loc departe de București , ajunge loc de întâlnire ||| nici un argat călare la București , și după ce sine ||| cu tot plânge cale spre București . pe atunci fi copil ||| , eu duce îsei la București ca să ruga pe un ||| , răsbi până și în București pe unde da eu cu ||| drum ce trece de la București spre călăraș , proprietar moșie"
București,HAIRO_PopescuND_TunsuCapitan.txt,27,"transporta din pădure pănă în București și el duce la diferit ||| ca să sine duce la București spre a da ochi cu ||| mult lună ; porni spre București și d-acola în lume mare ||| întreba grec . — la București . metru la București când ||| la București . metru la București când tu viu despre București ||| București când tu viu despre București ? lua de ! ce ||| , și eu duce la București ca rgue . spune eu ||| tu duce ? tot la București , atunci , dacă nu ||| trece pe aci duce la București câști mo-eu tot la București ||| București câști mo-eu tot la București eu duce ca să duce ||| , și tocmai veni la București cu sumă ho- â pentru ||| snoavă ; afară de acesta București fi departe . slugă , ||| sfială , sine plimba prin București fără nici un teamă , ||| Gâș-teștiîor și sine îndrepta spre București , un om cu barbă ||| și să el aduce în București viu sau mort , dar ||| găsi nici între acela din București , sau din alt orașiu ||| — uita eu duce la București ca să da un jalbă ||| ca să merge lba în București . avea avea mare noroc ||| ; dacă ajunge până la București fi să el nădejdi mult ||| nu margine drum mare dintre București , și iova . pe ||| meu ca să duce la București ban visterie . de teamă ||| acela de la spătărie din București despre acela întâmpla la Vida ||| cu drum ce de la București la Alexandria , în drept ||| ce vrea mai departe de București , în inimă munte , ||| tu tocmai la grozăvest lângă București . — iacă eu avea ||| muta la Bolintin aproape de București , eu avea s aici ||| și tu avea muta la București ca să fi mai aproape"
București,HAIRO_MacriP_IoanTunsu.txt,14,"haidiciu numel ortanat DEPANAIT MACRI BUCUREȘTI „ cultxră romenesc "" institut ||| haiduc , duce tu la București și fa tot ce ști ||| căpitan haiduc . — din București , răspunde el . — ||| drum , care duce spre București . sine însera , zăpadă ||| tot , el intra în București . atunci tot suvenire sine ||| redeștepta în minte său . București , loc orgie și al ||| eu văzui odată și în București . apoi lăsa psaltichia începe ||| . trădare . prin tot București și prin întreg țară răsuna ||| cineva decât să colindă mahalal București , să observa de aproape ||| vizitiu . el veni spre București . căpitan de haiduc fi ||| cadavru lui fi transportat în București și așeza pe un scândură ||| trup lui fi duce în București , mâine trebui să el ||| tot timp acesta lipsi din București , când avea voi să ||| LIBRĂRIEI „ cultxră romaneas "" BUCUREȘTI , - Strridolul_Democrat . PITAGORA"
