cuvant,fisier,total_aparitii,contexte
Ardeal,HAIRO_PopescuND_CodreanulHaiducul.txt,3,"Mihaiu viteaz , domn al ardeal , Moldova și țărei românesc ||| ga îsi în tot țară ardeal , voinic la povară și ||| pe roibuleanu avea lua tot ardeal , căci roibu meu fi"
Ardeal,HAIRO_PopescuND_IancuJianuZapciu.txt,2,de azi până mâine în Ardeal . Radu ști unde sine ||| cioban care sine întoarce din Ardeal cu turmă lui sine găsi
Ardeal,HAIRO_DumbravaB_Pandurul.txt,8,"bucura si celălalt popor al ardeal . Și Tudor întreba : ||| , în Bucovina , nu Ardeal . îpisilant avea trimite poruncă ||| , și boer plăti în Ardeal cu giuvaericală , șal și ||| trimete milion familie său în Ardeal . Șl fără doar șu ||| veni din miazănoapte , din Ardeal , își deschide lung cale ||| , care împiedeca intrare în Ardeal al îndrăcita arnăut . Lassanis ||| țare , tu veni din Ardeal si ca din București ” ||| care sine ți lanț intra Ardeal si România . soare apune"
Ardeal,HAIRO_RosettiR_CuPalosul.txt,15,"crai sârb , la voevod ardeal , în împrejurare greu , ||| să el lăsa și voevod ardeal vrea veni cu bun seamă ||| vrea fi în stare Voevodu ardeal să răpune pă rumână da ||| păste munte meu , în Ardeal , și - el vrea ||| încunoștiința de cătră locțiitor voevod ardeal că trimate pe un credincios ||| ungură și mai ales voevod ardeal , ocrotire cumpăra cu ban ||| , aduce de trimes din Ardeal . în curând sine aduce ||| stăpân și binefăcător , voevod ardeal , zice că arde de ||| acest țară atârna de voevod ardeal și că el fi oareșicum ||| deplin scop ungură . vice-voevod ardeal voi să sine folosa de ||| . doi pârea cătră voevod ardeal și el sili să fugi ||| un hotnog , sol voevod ardeal cu zece slujitor și strajă ||| sine bucura la curte voevod ardeal ; laudandu el împiedica însă ||| lui sas și sol voevod ardeal cu doi slujitor domnesc , ||| unde sine afla atunci vice-voevod ardeal . lumânare nu fi încă"
Ardeal,HAIRO_DumbravaB_Haiducul.txt,2,cum el faște sasie din Ardeal pentru țară rumânesc . de ||| încotro avea pleca ? spre Ardeal ? ” Tudor el povesti
Ardeal,HAIRO_PopescuND_MoarteaIancuJianul.txt,3,"ban în tihnă prin țeră ardeal sau alt unde tu . ||| trece împreună cu dâneașa în Ardeal și de acolo în Brașiov ||| întru al cel an în Ardeal , sine avea fi stabili"
Ardeal,HAIRO_PopescuND_RaduAnghel.txt,7,". . 1 epocă fanariot ardeal , ilustra . . . ||| graniță spre a trece în Ardeal . ajunge acolo vrea putea ||| eu strecura cu tu în Ardeal pe potecă eu cunoscut . ||| să trece cu el în Ardeal și să avea cu ce ||| fi bine piti . în ARDEAL Bucureștii , care fi orași ||| munteie , să merge în Ardeal , să eu așeza întru ||| , oraș situa în centru ardeal , nici prea aproape și"
Ardeal,HAIRO_PopescuND_IancuJianuCapitan.txt,1,catrafusă sine trece înapoi în Ardeal de unde avea veni ;
Ardeal,HAIRO_PopescuND_BoieriiHaiduci.txt,4,"Mihaiu viteaz , domn al ardeal , Moldova și Țărei-Românești . ||| care sine scoborî din munte ardeal în munte Valachiei , împreună ||| dincolo peste munte în țară ardeal , și mai cu seamă ||| putea să tu găsi în Ardeal și Bucovina armă soldățesc și"
Ardeal,HAIRO_Lazar_Haiducul_Graur.txt,1,"de peste munte , din Ardeal ; iar altul , că"
Ardeal,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,6,"pădea hotar despre Transilvania ( Ardeal ) . înăuntru în Ardeal ||| Ardeal ) . înăuntru în Ardeal să nu îndrăzni a lăsa ||| întreg Valachie , Moldova , ardeal , țară unguresc și țară ||| țară , umbla fugar prin Ardeal de frică turc care vrea ||| de la reînturnare său din Ardeal . tot acest boer și ||| cioban care sine întoarce din Ardeal cu turmă lui sine avea"
Ardeal,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,10,"el șu să intra în Ardeal unde nimeni nu el cunoaște ||| Turnu-Roșu pe unde trece în Ardeal , sub nume de Ba-dea ||| cu viață ce duce în Ardeal . de șu nu apuca ||| , nu sine găsi în Ardeal mai rău de cât la ||| serviciu de transport direct între Ardeal și Dunăre prin Oltenia , ||| face el oare-care mișcare în Ardeal cu strângere product șu cu ||| Islaz , dar numai în Ardeal sine mărgini tot activitate său ||| ocupa , trece în munteie ardeal nu numai tot turmă său ||| pe culmiț deal , deal ardeal , la cracă ciolpan , ||| sine avea fi stabili în Ardeal de unde pe urmă avea"
Ardeal,HAIRO_MatasaC_MovilaHaiducului.txt,1,"veni la mănăstire , din Ardeal , și prin gazdă din"
Ardeal,HAIRO_PopescuND_BujorHaiducul.txt,1,"Mihaiu viteaz , domn al ardeal , Moldova , și țeră"
Ardeal,HAIRO_BalanescuS_SfarsitulBlestemului.txt,2,"în înțelegere cu norod din Ardeal , care avea începe să ||| ochi rău plângere acela din Ardeal și avea fi hotărî să"
Ardeal,HAIRO_StoenescuS_Corbea.txt,11,"la Sigismund Batori , în Ardeal , ca său încheia aliență ||| cu condiție să recunoasca supremație ardeal . Mihaiu , pentru că ||| lui Dumnezeu , al țare ardeal , al Moldova , al ||| din dar lui Dumnezeu țară ardeal al Moldova , al țară ||| dar lu Dumnezeu , al ardeal , al țară Moldova , ||| vrea scrie între șfetnic de Ardeal . domn țară prin solı ||| și nevoie de la domn ardeal și de la urmaș lui ||| întreba pe Măria său domn ardeal și de la urmaș lui ||| acela , căpitan domn de Ardeal , care vrea fi pune ||| țară vră un ostaș domn ardeal , din parte acaluie , ||| Măria său Dom -nului de Ardeal și urmaș lui sine vrea"
Ardeal,HAIRO_PopescuND_CorbeaHaiducInchisoare.txt,1,asemeni dincolo de hotar în Ardeal veni din Zagon la limită
Ardeal,HAIRO_BaronziG_FontanaZinelor.txt,4,"de împărat unul veni din Ardeal , altul din Muntenia și ||| fată împărătesc . acela din Ardeal fi cu ochi negru , ||| un seamă de voinică din Ardeal , și atunci scăpa de ||| , care avea veni din Ardeal în ajutor meu și pe"
Atena,HAIRO_PopescuP_GrozaCataonilor(Fulger).txt,1,"măslină ce el vinde la Atena , că avea să ajuta"
Austerlitz,HAIRO_PopescuND_BoieriiHaiduci.txt,1,al austriac și buș la Austerlitz în zi de 25 Decembre
Austria,HAIRO_DumbravaB_Pandurul.txt,9,"export de porc în spre Austria , din care ieși venit ||| valar și face al ochi Austria , și pe pină știe ||| șas an , rătăci prin Austria și Basarabia și de acolo ||| care stu închipui , că Austria el ajuta ierta eu , ||| el trimite delă Slatina împărat Austria , desluși el pricină răscol ||| drept țare și mijlocire împărat Austria . el mărturisescte , că ||| pe franțuzește maestate său împărat Austria . de oarece nu avea ||| să cere liber trecere către Austria pentru Arhiu și pentru frație ||| și că arhiu fugi în Austria . nebun de mânie sine"
Austria,HAIRO_RosettiR_CuPalosul.txt,1,oșt număros ; Boemia și Austria aștepta numai ceas potrivit pentru
Austria,HAIRO_DumbravaB_Haiducul.txt,3,"să porni îndată spre graniță Austria , da eu un pașaport ||| despre fugă lui Tudor în Austria . Capugi Bașa , pe ||| șes boulen peste graniță în Austria "" . prisăcar sine scula"
Austria,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"consulă Rusia , Francia și Austria , singur care fi până"
Austria,HAIRO_PopescuND_BoieriiHaiduci.txt,2,"după exemplu Rusia și al Austria , consulate în țară român ||| înrîurire ca și Rusia și Austria și avea pune în mișcare"
Austria,HAIRO_MacriP_HaiduculTandura.txt,1,"în tabără , expediție din Austria reuși de minune . Vintilă"
Austria,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,ocazie anexare Oltenia pe lângă Austria ? ) acesta fi prim
Austria,HAIRO_PopescuND_BujorHaiducul.txt,1,ca influență Rusia și al Austria să bate în cap chiar
Babadag,HAIRO_IghelI_MoarteaSimionLicinsky.txt,2,"stradă Issaccea , Ca-rol și Babadag până la infirmerie militar unde ||| porni de aci pe stradă Babadag avea îvenda în frunte pe"
Bacău,HAIRO_RosettiR_CuPalosul.txt,65,"tu la Trotuș sau la Bacău sau la piatră și voi ||| cale fi lung până la Bacău ; nu mai avea mult ||| nu vrea putea fi în Bacău acest noapte . și Hans ||| cu Petrea cărăbuș pănă la Bacău , nu ști pentru ce ||| ști că gazdă căpitan la Bacău fi la soră lui Petrea ||| treab mai avea căpitan la Bacău , șădea acolo cu săptămână ||| cel mult cărăusă veni dinspre Bacău cu deșert spre a încarca ||| cu sare sau chereste spre Bacău . Vidra sine duce în ||| ziuă , să fi în Bacău . — sine vedea că ||| treabă ce el avea în Bacău fi vajnic și grabnic de ||| niște marfă din Galați la Bacău , fi față când al ||| , ajunge eu astănoapte în Bacău , prin ban avea cumpăra ||| și ce avea face la Bacău atât vremie , căci avea ||| merge mai des pe la Bacău și zăbăvi mai mult acolo ||| că tu petreci vreme la Bacău lângă stancă acela frumos . ||| ochi . avea fi la Bacău numai pentru neaparat trebuinte și ||| prinde cu un furt la Bacău pentru care tu avea pedepsi ||| să pleca numai decât la Bacău și să trimâte pe ileană ||| peletuc , delă peletuc lângă Bacău . — cu atât mai ||| țaranie , Radomir de lângă Bacău , ieși din rând boierime ||| arunca în Siret , între Bacău și Roman . aici descălece ||| scapa , fi duce la Bacău . — dar fiică său ||| despre Ștefănești și merge spre Bacău . la Sabaoani , el ||| . sine întoarce acuma spre Bacău după ce da oștean adunat ||| haină unguresc . căci în Bacău cel mai mare parte al ||| saș și al ungură din Bacău cât și vitejie străluci arata ||| cel puțin un zi în Bacău spre a pedepsi în chip ||| acel prin care intra în Bacău , trece pod care fi ||| cătră un călăreț trimete delă Bacău înaintea plecare voevod , aștepta ||| . el avea duce la Bacău unde el avea da pe ||| , la toca sosea în Bacău . neamție delă Cetate el ||| dacă ajunge de vreme în Bacău și cal nu el fi ||| adăpost curat . vedea în Bacău că cal mai putea merge ||| schimbat . Stoian veni din Bacău cu veste că Petrea cărăbuș ||| - el avea aduce la Bacău și el avea da pe ||| ajunge întru un fugă la Bacău , să vedea dacă mai ||| la toca avea ajunge la Bacău și , arăta eu sine ||| Petrea . în temniță din Bacău fi închide un prieten al ||| alt călău nu fi în Bacău . Astfeliu eu avea avea ||| parcă sine da întâlnire în Bacău numai barbat și încă barbat ||| lume întru un duminică în Bacău ? baga avea samă cât ||| în același sări ajunge în Bacău și petrece noaptea la stancă ||| , călător meu pleca din Bacău când sine crapa de ziuă ||| vesti că onea sosi delă Bacău calare cu vește rău și ||| , arunca în temniță din Bacău și recunoaște acolo de un ||| . intoarce tu îndată la Bacău . Paisie tu vrea duce ||| , zori de ajunge la Bacău înainte de ziuă . îndată ||| de azi dimineață , delă Bacău , nu putea decât să ||| el el de moarte la Bacău ? crijație , dacă nu ||| călăuză și să pleca spre Bacău . la câtva pas sine ||| răscula norod ieri dimineață la Bacău și el el scoate din ||| că scapa de moarte la Bacău numai prin ajutor un alt ||| spre țară unguresc și spre Bacău . dar eu el trimete ||| lui Floareș în răscolă delă Bacău , care Mihu el datori ||| sine în noapte viitor la Bacău . dar Anton nu sine ||| eu eu voi răpezi la Bacău ca să vorbi cu prieten ||| să eu el aduce la Bacău . — ba nu , ||| slujitor scapa din măcel delă Bacău , care . povesti răscolă ||| câștigat lui Bogdan . la Bacău , șohtuz Meyer sine retrăsi ||| el neputa trece Bistrița la Bacău , trece pe mal stâng ||| Stroici să sine retrage înspre Bacău , porni înainte câtva sută ||| răspunde să sine îndrepta spre Bacău . gros oaste ajunge al ||| să fi hărțui necontenit dinspre Bacău și bistriță , spre a ||| sine împreuna cu domn în Bacău . plecare fi hotărî pentru ||| la eu , merge înspre Bacău , eu el lua cu"
Bacău,HAIRO_IghelI_MoarteaSimionLicinsky.txt,1,"lucrător Iordache Gătej , din Bacău , vier Calinic , și"
Bacău,HAIRO_PopescuND_RaduAnghel.txt,1,muntos al județ Putna și Bacău cu intențiune ca avea strînge
Bacău,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"avea înnainta prin Roman și Bacău până la Focșani , și"
Bacău,HAIRO_Anonim_GruiaMereanu.txt,2,fi tot cioban prin județ Bacău . avea un turmă mic ||| . fi orfan naște la Bacău . copie amândoi sine întâlni
Bacău,HAIRO_MacriP_HaiduculTandura.txt,2,da un raită până la Bacău și să tu întoarce îndată ||| pleca numai de cât spre Bacău . chiar al doi seară
Bacău,HAIRO_MatasaC_MovilaHaiducului.txt,1,"trimite azi după el la Bacău . cât privi Iași ,"
Bacău,HAIRO_PopescuND_BujorHaiducul.txt,6,"al trei în sus de Bacău și un vie cu obraț ||| ordona să sine duce la Bacău cu voinică lui și să ||| neatins el și de la Bacău . vodă de bucurie el ||| , și între Roman și Bacău întâlni pe grec , el ||| de unăd între Roman și Bacău ? — eu ucigaș ? ||| nici de loc pe la Bacău , fi că avea veni"
Bahlui,HAIRO_Dragoslav_CodreanuHaicudul.txt,1,"curge în vale , spre Bahlui . aici furcă pune șu"
Baia,HAIRO_RosettiR_CuPalosul.txt,7,"de amiază ; fi în Baia . acest oraș fi aproape ||| un sută de sas din Baia să sine înarma numai decât ||| Moldova . Sara rama în Baia , chiemă pe șoltuz la ||| și al doi zi la Baia , spre a privighia însuși ||| mai fi de trebuință în Baia și dori să sine întâlni ||| căutare Ilena el găsi în Baia și el aduce veste că ||| cal și sine îndrepta spre Baia , urma de onea și"
Baia,HAIRO_Dragoslav_CodreanuHaicudul.txt,1,". el fi muta delă Baia , din pricină că veni"
Baia,HAIRO_Lazar_Haiducul_Graur.txt,2,"face de la Câmpulung spre Baia , unde turc după ce ||| la luptă . *** la Baia , Turci sine întări grozav"
Baia,HAIRO_Anonim_HaiduculJianuLupul.txt,3,"Anton , țăran bogat din Baia dră clădi cam la poală ||| pe dată . ceas din Baia suna doi oră ; tînăr ||| de a sine duce în Baia , unde găsi pe Ana"
Balcani,HAIRO_PopescuND_IancuJianuZapciu.txt,1,", pe top clefție din Balcani și Pind și el avea"
Balcani,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,și pe toțr cârjal din Balcani și el avea da nume
Balș,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"tom ca la logofăt Iordache Balș . — bră tânăr ,"
Balta-Verde,HAIRO_BalanescuS_SfarsitulBlestemului.txt,3,"om ? — în mahalaoa Balta-Verde , spre margine târg , ||| d-ta fi Sorica din mahalaoa Balta-Verde , din târg Craiova ? ||| în oraș Craiova , mahala Balta-Verde , unde avea deschide ochi"
Banat,HAIRO_Lazar_Haiducul_Graur.txt,1,"la curte său din capitală Banat său , Craiova , fi"
Banat,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,", și de acolo în Banat , și avea prefera a"
Banat,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,1,pentru ca să intra în Banat Craiova care pe atunci sine
Baranga,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"pune pe colăcen , pe Baranga și pe gămăneșteni să eu"
Basarabia,HAIRO_MarcuA_GhitaCatanuta.txt,1,"pădure des , din nord Basarabia . doi lună încheia ,"
Basarabia,HAIRO_PopescuND_IancuJianuZapciu.txt,1,. Rusia și mai ales Basarabia care fi răsni de so-ră
Basarabia,HAIRO_DumbravaB_Pandurul.txt,8,"el sfătui să trece în Basarabia ca să scăpa de șican ||| hotărî la început . din Basarabia , Alexandru zpsilant , arhiu ||| rar sta gata la granit Basarabia . bucurește mat avea hate ||| de șas an cu răpire Basarabia de către Muscali . acuma ||| , rătăci prin Austria și Basarabia și de acolo trece în ||| eu scrie mai deunăzi din Basarabia vrednic de laudă Mîaden Milenovici ||| avea începe să fugi metru Basarabia , în Bucovina , nu ||| ruseșt ce sine afla în Basarabia , care sine avea fi"
Basarabia,HAIRO_DumbravaB_Haiducul.txt,1,fi amenința cu Siberia . Basarabia avea lua el delă Moldova
Basarabia,HAIRO_PopescuND_BoieriiHaiduci.txt,2,"fi nevoi să da înapoi Basarabia cu tot cetate său precum ||| să înconjura cetate turcesc din Basarabia . "" moldovean care nu"
Basarabia,HAIRO_MacriP_GhitaCatanuta.txt,1,întru un pădure din ținut Basarabia . intru un noapte luminat
Basarabia,HAIRO_Anonim_BanditulGrozea.txt,1,de la Rădăuți pe hotar Basarabia rusesc și avea fi la
Basarabia,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,3,"sine retrăsi peste Prut , Basarabia fi smulge din braț Moldova ||| din țară leșesc și chiar Basarabia moldoven . băga de seamă ||| , și mai - ales Basarabia , care fi răsni de"
Basarabia,HAIRO_PopescuND_BujorHaiducul.txt,2,"parte din patrie lui : Basarabia , și să sine încerca ||| că fi un originar din Basarabia și că fi om deștept"
Basarabia,HAIRO_BalanescuS_SfarsitulBlestemului.txt,1,"jesbosu , eu vrea da Basarabia . numai Nemțimea nu eu"
Basarabia,HAIRO_StoenescuT_DragusinHaiducul.txt,5,"întru un mic sat din Basarabia rusesc , viață lui fi ||| ferici în-tre un sat din Basarabia rusesc . un singur nor ||| putea să lua drum către Basarabia , unde și sosi în ||| zi Drăgușin sine întoarce în Basarabia cu frumos Smărăndita ; dar ||| acolo drept un proprietar din Basarabia și prin ajutor doctor ,"
Basarabia,HAIRO_BaronziG_FontanaZinelor.txt,2,"editor FONTANA ZINELOR în parte Basarabia care avea fi retroceda Ru ||| , avea să eu lua Basarabia și să el da român"
Băbeni,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,oteraș său în apropiere de Băbeni și Jianu cu haiduc său
Băleni,HAIRO_IghelI_MoarteaSimionLicinsky.txt,2,"sine duce la moșie său Băleni , la hotar dintre moșie ||| hotar dintre moșie Cuca și Băleni , în pădure bălean ,"
Băneasa,HAIRO_PopescuND_TunsuCapitan.txt,1,", și sine îndrepta spre Băneasa ca cum avea fi avea"
Băneasa,HAIRO_DumbravaB_Pandurul.txt,5,"om meu să rămâne la Băneasa , cu cal lui . ||| , pe lângă pădure delà Băneasa , în spre oraș . ||| să duce nișt fân la Băneasa . iarbă sine avea împuțina ||| în pădure de stejar delă Băneasa , pe care toamnă cald ||| tot eâ sc înapoia delà Băneasa cu cel mai bun hotă"
Băneasa,HAIRO_BaronziG_MinaHaiduceasa.txt,1,"iar mireasă fi din sat Băneasa , amândo sat în apropiere"
Bârlad,HAIRO_RosettiR_CuPalosul.txt,75,"el lucra pentru eu la Bârlad . — da , el ||| jos , pe Siret și Bârlad , pusti tot în cale ||| în urmărire dușman , pe Bârlad . fi de mult prieten ||| sine avea întoarce îndată la Bârlad . cinste lui fi bine ||| . Albrecht el duce la Bârlad în casă un negustor prieten ||| cavaler , sine duce la Bârlad și plăti șase sută de ||| eu vrea întoarce pe la Bârlad unde vrea hotărî cu Toma ||| ajutor lui ? — la Bârlad , cu tot osteneală meu ||| apuca drum prin Tecuciu , Bârlad și vale Chinezei sau , ||| sat , în jos de Bârlad , un tânăr , orfan ||| purcea al doi zi pe Bârlad , cu un om al ||| de aici genovezie apuca spre Bârlad iar celălalt , trece Siretul ||| alt om decât soponar din Bârlad , mai cunoscător în de ||| fi grabă să merge la Bârlad , urmă părinte . - ||| fi ? el sosi în Bârlad ? - ști că acuma ||| săptămână fi fierbere mare în Bârlad unde sine afla de venire ||| solie lui Basarab el lasa Bârlad de un parte și el ||| sine vrea aba pe la Bârlad . — mai bine avea ||| Basarab nici un solie la Bârlad dar , dacă el trimete ||| sus vrea merge la orașiu Bârlad împreună cu domnie tău și ||| la cetate alb și la Bârlad da Alexandru Basarab , domn ||| eu avea trimite Basarab la Bârlad . cuvios părint și cinstit ||| răscola . celălalt țară : Bârlad , hotin , Iașul , ||| eu să prinde picior în Bârlad sau în Codru . în ||| păste hotar Moldova , prin Bârlad , prin Codru , prin ||| și să pune mână pă Bârlad . dar pune mână pă ||| . dar pune mână pă Bârlad , avea micșioră mult sorție ||| . insă fruntașiu negustor dân Bârlad , cu nou lui voevod ||| trebui deci să trimite la Bârlad un om da încrederecare să ||| deci , fătulă , la Bârlad , chiar da mâine dacă ||| treabor ce el avea la Bârlad , urma să merge pentru ||| să merge da sârg la Bârlad , unde să eu opri ||| genovezie , iar că prin Bârlad trece numai cu prilej întoarcere ||| de gând să merge la Bârlad împreună cu eu pentru folos ||| nemeri să sosi împreună în Bârlad și ca sosire meu să ||| până ce vrea sosi în Bârlad , eu nu fi Pârvu ||| la cale călătorie tău spre Bârlad . grădiste , sat în ||| vesti din Codru și din Bârlad . în zadar s avea ||| August , când pleca la Bârlad , întovărăși de Gheorghiță păna ||| vedea sosire călător meu la Bârlad si găzduire lui la fost ||| pe la toca , în Bârlad . bârlad pe acel vreme ||| toca , în Bârlad . bârlad pe acel vreme nu sine ||| lui nu mai fi prin Bârlad , tăcea dar sine vedea ||| negustor cel mai bogat din Bârlad ; în dughen și în ||| în care sine afla atunci Bârlad . sfat care sine afla ||| și lucra pentru a aduce bârlad sub stăpânire acest voevod . ||| Pârvu atât stare lucru în Bârlad cât și ceu ce aștepta ||| oaspetă ! stare lucru dân Bârlad eu fi cunoaște da mult ||| plăcea ; dace să vedea bârlad în mână ungură , mai ||| , iar Mihu rama în Bârlad , unde aștepta vește de ||| pentru cine ține negustor dân Bârlad lucru atât da minunat ? ||| . să nu uita că Bârlad fi un șchea , din ||| din Moldova și oștean din Bârlad ; mai mult foc avea ||| știre despre aflare lui în Bârlad , răspândi în același dimineață ||| , eu avea îndrepta spre Bârlad unde avea ajunge astăzi la ||| povesti cum avea sosi în Bârlad da câtva zi alt sol ||| Basarab la Cetatea-Albă și la Bârlad , păta Pârvu Nedeianu , ||| însoți până acela , în Bârlad , da unde eu propune ||| și său eu statornica în Bârlad , lua da soție pă ||| Toma Alimoș să rămâne în Bârlad , avea a el trimate ||| avea apuca ? — spre Bârlad , răspunde om din Crăiești ||| să trima pe Anton la Bârlad pentru treab grabnic , dar ||| acela ce sine petrece la Bârlad . vedea că onea nu ||| năvălire împotriva tătar . dela Bârlad sosi vește cel mai îmbucurător ||| păna la sosire ajutoar din Bârlad și din Codru . Trimese ||| tot oșt , sosi din Bârlad , delă Ploscan , un ||| adăuga că vește primi delă Bârlad suna într-adevăr că târziu , ||| Gheorghiță el povesti întâmplare din Bârlad când onea , veni din ||| , prietenie lui târziu din Bârlad și câtva ieșean ; dinLăpușnă ||| veni cu soție lui în Bârlad , târgoveție vedea cu mierare ||| sine feri să veni în Bârlad . tot cam pe acel ||| din când în când în Bârlad noaptea , pe furiș și ||| de mai mult an în Bârlad , meșter mare în meserie ||| un chip să rămâne în Bârlad și să lesa ca Bogdan ||| Plopana , străbate deal dintre Bârlad și Siret și ajunge pe"
Bârlad,HAIRO_IghelI_DragosHotulTecucilor.txt,10,"de doi apă mic : bârlad și tecucel . bârlad intra ||| : bârlad și tecucel . bârlad intra în oraș prin parte ||| unde sine și vărsa în Bârlad . tecuciu fi așeza pe ||| duce din Tecuciu la oraș Bârlad . mahalal crivițen , mălurean ||| Galați , ci numai la Bârlad , Tecuciu și acela el ||| între cel doi apă : bârlad și tecu-cel , după cum ||| pe un rîu mare ( bârlad ) și că avea 3 ||| mult ceas , trece rîu Bârlad și ajunge în pădure . ||| el chema Ițic Caner din Bârlad și care fi strîngător de ||| proprietar moșie Borcea din plasa Bârlad , fi în cancelarie proprietățe"
Bârlad,HAIRO_Dragoslav_CodreanuHaicudul.txt,2,"sine duce până pe la Bârlad , pe la Galați , ||| : la ieși , la Bârlad , ori chiar numai până"
Bârlad,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"Vaslui și Fâlciu până la Bârlad , că Sergiu Kamensky avea"
Bârlăzel,HAIRO_RosettiR_CuPalosul.txt,4,"de tovarăș său înspre obârșie bârlăzel , unde da întâlnire lui ||| soare sine afla dincolo de Bârlăzel , pe culme care despărți ||| pisc urs , goni spre Bârlăzel . XXXIII din gură lup ||| lup Tatarii , trece peste Bârlăzel și apuca pe drum numit"
Bechet,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,"mai ales parte băltos despre Bechet , de câte tu cetă"
Bechet,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,3,parte din sat azi o-rășel Bechet . intru acel moment nu ||| supărare ; aci ești la Bechet ; tu puiu singur în ||| el închina căsuță de la Bechet . Pașa priimi cu plăcere
Bechet,HAIRO_BalanescuS_SfarsitulBlestemului.txt,1,"el trece Dunăre în spre Bechet , ca să sine duce"
Belgrad,HAIRO_PopescuND_IancuJianuZapciu.txt,1,"pripășitură după la Diiu și Belgrad , care îșe primi până"
Belgrad,HAIRO_PopescuND_IancuJianuHaiducul_1912.txt,1,"pripășit după la Diiu și Belgrad , care sine priimi până"
Belgrad,HAIRO_PopescuND_AgaGruiaGrozoveanu.txt,1,"de Ţarigrad cu ilec de Belgrad , cu fes din Brusa"
Bisericani,HAIRO_StoenescuS_Corbea.txt,1,"fi să pleca de la Bisericani înapoi , câine începe să"
Bisoca,HAIRO_IstratiP_DomnitaSnagov.txt,6,"doi . mubprunt de la BISOCA ca să trece în Moldova ||| de miază noapte al sat Bisoca , ținut muntos și foarte ||| care sta aici , la Bisoca , în gospodărie pe care ||| greu pentru eu , și Bisoca , la opt zi de ||| an după venire meu la Bisoca . rămăsă singur , cu ||| an , un fată din Bisoca ? el chema angelică ?"
Bistrița,HAIRO_RosettiR_CuPalosul.txt,9,", păna în apropiere de Bistrița . în cel doi ceas ||| aduce veste că Ițic trece Bistrița înainte de ploae și trimete ||| Mihu . el neputa trece Bistrița la Bacău , trece pe ||| veni așa de mare ca Bistrița , la Radomirești , el ||| Isaia , de loc din Bistrița , pleca la Cuhnia cu ||| , căci sas muri în Bistrița la început iarnă . înainte ||| de arcaș din Dalmația trece Bistrița din sus de gârlă Babei ||| ; spre Siret și spre Bistrița . apoi domn sine îndrepta ||| român pe Moldova și pe Bistrița și cere ca bârlădenie și"
Bistrița,HAIRO_PopescuND_MoarteaIancuJianul.txt,1,"munte ceva mai sus de Bistrița , și după trei noptă"
